Season,Team,Result,HScore,AScore,Round,Date,OppositionTeam
2008,Waikato Bay of Plenty Magic,WinHome,46,42,1,Monday 7 April,Adelaide Thunderbirds
2008,West Coast Fever,LoseHome,41,54,2,Monday 14 April,Adelaide Thunderbirds
2008,Melbourne Vixens,LoseHome,38,39,3,Sunday 20 April,Adelaide Thunderbirds
2008,Queensland Firebirds,LoseHome,41,47,9,Monday 2 June,Adelaide Thunderbirds
2008,Northern Mystics,LoseHome,47,48,11,Saturday 14 June,Adelaide Thunderbirds
2008,New South Wales Swifts,WinHome,51,41,12,Monday 23 June,Adelaide Thunderbirds
2008,Central Pulse,LoseHome,32,44,14,Monday 7 July,Adelaide Thunderbirds
2008,Waikato Bay of Plenty Magic,WinHome,51,49,16,Monday 21 July,Adelaide Thunderbirds
2008,Northern Mystics,LoseHome,44,48,1,Sunday 6 April,Canterbury Tactix
2008,Southern Steel,LoseHome,48,51,6,Saturday 10 May,Canterbury Tactix
2008,Central Pulse,LoseHome,50,55,7,Saturday 17 May,Canterbury Tactix
2008,Northern Mystics,WinHome,50,46,9,Monday 2 June,Canterbury Tactix
2008,Adelaide Thunderbirds,WinHome,61,41,10,Sunday 8 June,Canterbury Tactix
2008,Queensland Firebirds,WinHome,50,36,12,Sunday 22 June,Canterbury Tactix
2008,West Coast Fever,WinHome,50,44,13,Sunday 29 June,Canterbury Tactix
2008,Waikato Bay of Plenty Magic,WinHome,69,44,14,Saturday 5 July,Canterbury Tactix
2008,Queensland Firebirds,WinHome,56,28,3,Monday 21 April,Central Pulse
2008,New South Wales Swifts,WinHome,59,30,4,Monday 28 April,Central Pulse
2008,Waikato Bay of Plenty Magic,WinHome,54,37,5,Saturday 3 May,Central Pulse
2008,Southern Steel,WinHome,41,29,9,Saturday 31 May,Central Pulse
2008,West Coast Fever,LoseHome,0,0,10,Monday 9 June,Central Pulse
2008,Canterbury Tactix,WinHome,50,49,11,Sunday 15 June,Central Pulse
2008,Northern Mystics,WinHome,42,28,13,Saturday 28 June,Central Pulse
2008,Central Pulse,LoseHome,33,50,1,Saturday 5 April,Melbourne Vixens
2008,Canterbury Tactix,LoseHome,50,58,4,Monday 28 April,Melbourne Vixens
2008,New South Wales Swifts,LoseHome,52,53,5,Monday 5 May,Melbourne Vixens
2008,Adelaide Thunderbirds,LoseHome,46,52,7,Sunday 18 May,Melbourne Vixens
2008,Queensland Firebirds,WinHome,60,51,8,Sunday 25 May,Melbourne Vixens
2008,Southern Steel,WinHome,47,46,10,Saturday 7 June,Melbourne Vixens
2008,West Coast Fever,LoseHome,48,54,12,Saturday 21 June,Melbourne Vixens
2008,Adelaide Thunderbirds,WinHome,53,48,15,Monday 14 July,Melbourne Vixens
2008,Canterbury Tactix,WinHome,50,44,2,Saturday 12 April,New South Wales Swifts
2008,Queensland Firebirds,WinHome,66,52,6,Saturday 10 May,New South Wales Swifts
2008,Adelaide Thunderbirds,LoseHome,44,50,8,Monday 26 May,New South Wales Swifts
2008,Northern Mystics,LoseHome,62,64,10,Monday 9 June,New South Wales Swifts
2008,Melbourne Vixens,LoseHome,49,62,13,Monday 30 June,New South Wales Swifts
2008,West Coast Fever,LoseHome,54,63,14,Monday 7 July,New South Wales Swifts
2008,Waikato Bay of Plenty Magic,LoseHome,56,57,15,Sunday 13 July,New South Wales Swifts
2008,Waikato Bay of Plenty Magic,WinHome,56,52,2,Sunday 13 April,Northern Mystics
2008,Queensland Firebirds,WinHome,46,40,4,Saturday 26 April,Northern Mystics
2008,Southern Steel,LoseHome,48,50,5,Monday 5 May,Northern Mystics
2008,Central Pulse,LoseHome,48,54,8,Monday 26 May,Northern Mystics
2008,Melbourne Vixens,WinHome,56,47,14,Sunday 6 July,Northern Mystics
2008,Melbourne Vixens,WinHome,62,52,2,Sunday 13 April,Queensland Firebirds
2008,West Coast Fever,LoseHome,46,65,5,Saturday 3 May,Queensland Firebirds
2008,Waikato Bay of Plenty Magic,WinHome,56,50,10,Sunday 8 June,Queensland Firebirds
2008,New South Wales Swifts,WinHome,61,60,11,Sunday 15 June,Queensland Firebirds
2008,Adelaide Thunderbirds,WinHome,66,47,13,Saturday 28 June,Queensland Firebirds
2008,Southern Steel,WinHome,54,52,14,Sunday 6 July,Queensland Firebirds
2008,New South Wales Swifts,WinHome,53,42,1,Monday 7 April,Southern Steel
2008,Central Pulse,LoseHome,50,52,2,Monday 14 April,Southern Steel
2008,Canterbury Tactix,LoseHome,42,51,3,Monday 21 April,Southern Steel
2008,Adelaide Thunderbirds,WinHome,54,41,4,Sunday 27 April,Southern Steel
2008,Waikato Bay of Plenty Magic,WinHome,56,47,7,Monday 19 May,Southern Steel
2008,Northern Mystics,WinHome,47,41,12,Monday 23 June,Southern Steel
2008,New South Wales Swifts,WinHome,50,47,3,Saturday 19 April,Waikato Bay of Plenty Magic
2008,Northern Mystics,LoseHome,45,59,6,Monday 12 May,Waikato Bay of Plenty Magic
2008,Canterbury Tactix,LoseHome,50,54,8,Saturday 24 May,Waikato Bay of Plenty Magic
2008,Melbourne Vixens,WinHome,47,40,11,Monday 16 June,Waikato Bay of Plenty Magic
2008,Central Pulse,LoseHome,41,46,12,Saturday 21 June,Waikato Bay of Plenty Magic
2008,Southern Steel,WinHome,47,43,13,Monday 30 June,Waikato Bay of Plenty Magic
2008,New South Wales Swifts,WinHome,65,56,17,Monday 28 July,Waikato Bay of Plenty Magic
2008,Queensland Firebirds,WinHome,48,46,1,Sunday 6 April,West Coast Fever
2008,Northern Mystics,LoseHome,45,49,3,Saturday 19 April,West Coast Fever
2008,Waikato Bay of Plenty Magic,WinHome,61,47,4,Saturday 26 April,West Coast Fever
2008,Adelaide Thunderbirds,WinHome,66,50,6,Monday 12 May,West Coast Fever
2008,New South Wales Swifts,WinHome,66,54,7,Monday 19 May,West Coast Fever
2008,Melbourne Vixens,WinHome,57,44,9,Sunday 1 June,West Coast Fever
2008,Southern Steel,WinHome,58,43,11,Monday 16 June,West Coast Fever
2009,Queensland Firebirds,LoseHome,48,60,1,Sunday 5 April,Adelaide Thunderbirds
2009,Canterbury Tactix,LoseHome,48,53,4,Monday 27 April,Adelaide Thunderbirds
2009,Melbourne Vixens,WinHome,50,42,5,Sunday 3 May,Adelaide Thunderbirds
2009,New South Wales Swifts,LoseHome,40,51,6,Sunday 10 May,Adelaide Thunderbirds
2009,West Coast Fever,LoseHome,41,61,9,Monday 1 June,Adelaide Thunderbirds
2009,Southern Steel,WinHome,58,49,13,Monday 29 June,Adelaide Thunderbirds
2009,Waikato Bay of Plenty Magic,LoseHome,37,51,16,Sunday 19 July,Adelaide Thunderbirds
2009,Melbourne Vixens,WinHome,54,46,17,Sunday 26 July,Adelaide Thunderbirds
2009,New South Wales Swifts,WinHome,62,45,1,Monday 6 April,Canterbury Tactix
2009,Southern Steel,WinHome,52,48,3,Sunday 19 April,Canterbury Tactix
2009,Northern Mystics,WinHome,47,46,9,Monday 1 June,Canterbury Tactix
2009,Central Pulse,LoseHome,45,59,10,Saturday 6 June,Canterbury Tactix
2009,Waikato Bay of Plenty Magic,WinHome,50,46,12,Monday 22 June,Canterbury Tactix
2009,Melbourne Vixens,WinHome,63,35,13,Monday 29 June,Canterbury Tactix
2009,Southern Steel,WinHome,55,46,1,Saturday 4 April,Central Pulse
2009,Northern Mystics,WinHome,54,50,2,Sunday 12 April,Central Pulse
2009,Waikato Bay of Plenty Magic,WinHome,59,36,6,Saturday 9 May,Central Pulse
2009,Canterbury Tactix,WinHome,49,46,8,Saturday 23 May,Central Pulse
2009,Adelaide Thunderbirds,WinHome,70,40,12,Saturday 20 June,Central Pulse
2009,Melbourne Vixens,WinHome,80,39,14,Saturday 4 July,Central Pulse
2009,Queensland Firebirds,LoseHome,51,54,2,Monday 13 April,Melbourne Vixens
2009,Adelaide Thunderbirds,LoseHome,43,49,3,Sunday 19 April,Melbourne Vixens
2009,West Coast Fever,LoseHome,49,74,7,Sunday 17 May,Melbourne Vixens
2009,Waikato Bay of Plenty Magic,WinHome,55,48,10,Monday 8 June,Melbourne Vixens
2009,New South Wales Swifts,LoseHome,52,63,11,Monday 15 June,Melbourne Vixens
2009,Northern Mystics,LoseHome,57,61,12,Saturday 20 June,Melbourne Vixens
2009,Adelaide Thunderbirds,WinHome,48,47,2,Sunday 12 April,New South Wales Swifts
2009,Waikato Bay of Plenty Magic,WinHome,63,45,3,Monday 20 April,New South Wales Swifts
2009,West Coast Fever,WinHome,67,66,5,Monday 4 May,New South Wales Swifts
2009,Melbourne Vixens,WinHome,65,63,8,Monday 25 May,New South Wales Swifts
2009,Queensland Firebirds,WinHome,62,61,10,Sunday 7 June,New South Wales Swifts
2009,Central Pulse,WinHome,53,52,13,Sunday 28 June,New South Wales Swifts
2009,Southern Steel,WinHome,55,48,14,Saturday 4 July,New South Wales Swifts
2009,West Coast Fever,WinHome,57,46,3,Monday 20 April,Northern Mystics
2009,New South Wales Swifts,WinHome,59,55,4,Monday 27 April,Northern Mystics
2009,Central Pulse,LoseHome,60,61,5,Monday 4 May,Northern Mystics
2009,Waikato Bay of Plenty Magic,WinHome,50,35,7,Monday 18 May,Northern Mystics
2009,Adelaide Thunderbirds,WinHome,58,34,10,Saturday 6 June,Northern Mystics
2009,Southern Steel,WinHome,52,50,11,Monday 15 June,Northern Mystics
2009,Canterbury Tactix,WinHome,63,56,14,Monday 6 July,Northern Mystics
2009,Central Pulse,LoseHome,46,58,3,Saturday 18 April,Queensland Firebirds
2009,New South Wales Swifts,LoseHome,54,58,7,Monday 18 May,Queensland Firebirds
2009,Adelaide Thunderbirds,WinHome,51,50,8,Sunday 24 May,Queensland Firebirds
2009,Melbourne Vixens,WinHome,57,53,9,Sunday 31 May,Queensland Firebirds
2009,Canterbury Tactix,WinHome,53,46,11,Saturday 13 June,Queensland Firebirds
2009,Northern Mystics,LoseHome,57,59,13,Saturday 27 June,Queensland Firebirds
2009,West Coast Fever,LoseHome,52,54,14,Monday 6 July,Queensland Firebirds
2009,Waikato Bay of Plenty Magic,WinHome,54,47,2,Saturday 11 April,Southern Steel
2009,Melbourne Vixens,WinHome,48,31,4,Saturday 25 April,Southern Steel
2009,Northern Mystics,LoseHome,52,61,6,Monday 11 May,Southern Steel
2009,Canterbury Tactix,LoseHome,47,48,7,Saturday 16 May,Southern Steel
2009,Central Pulse,LoseHome,44,66,9,Saturday 30 May,Southern Steel
2009,West Coast Fever,WinHome,59,48,10,Monday 8 June,Southern Steel
2009,Queensland Firebirds,WinHome,52,50,12,Monday 22 June,Southern Steel
2009,Adelaide Thunderbirds,WinHome,51,45,15,Monday 13 July,Southern Steel
2009,Northern Mystics,LoseHome,38,51,1,Monday 6 April,Waikato Bay of Plenty Magic
2009,Queensland Firebirds,WinHome,53,42,4,Sunday 26 April,Waikato Bay of Plenty Magic
2009,Canterbury Tactix,LoseHome,48,50,5,Saturday 2 May,Waikato Bay of Plenty Magic
2009,Southern Steel,LoseHome,39,48,8,Monday 25 May,Waikato Bay of Plenty Magic
2009,Central Pulse,LoseHome,35,67,11,Sunday 14 June,Waikato Bay of Plenty Magic
2009,West Coast Fever,LoseHome,38,49,13,Sunday 28 June,Waikato Bay of Plenty Magic
2009,Adelaide Thunderbirds,WinHome,54,35,14,Sunday 5 July,Waikato Bay of Plenty Magic
2009,Melbourne Vixens,WinHome,58,43,15,Sunday 12 July,Waikato Bay of Plenty Magic
2009,Melbourne Vixens,WinHome,57,44,1,Saturday 4 April,West Coast Fever
2009,Canterbury Tactix,WinHome,52,44,2,Monday 13 April,West Coast Fever
2009,Central Pulse,LoseHome,54,60,4,Saturday 25 April,West Coast Fever
2009,Queensland Firebirds,WinHome,56,53,6,Monday 11 May,West Coast Fever
2009,Adelaide Thunderbirds,WinHome,58,39,11,Sunday 14 June,West Coast Fever
2009,New South Wales Swifts,LoseHome,60,63,12,Sunday 21 June,West Coast Fever
2010,Northern Mystics,WinHome,55,52,1,Saturday 20 March,Adelaide Thunderbirds
2010,Queensland Firebirds,LoseHome,40,41,3,Sunday 4 April,Adelaide Thunderbirds
2010,Central Pulse,LoseHome,40,75,5,Saturday 17 April,Adelaide Thunderbirds
2010,West Coast Fever,LoseHome,37,57,6,Monday 26 April,Adelaide Thunderbirds
2010,New South Wales Swifts,WinHome,60,44,8,Sunday 9 May,Adelaide Thunderbirds
2010,Melbourne Vixens,LoseHome,43,54,12,Sunday 6 June,Adelaide Thunderbirds
2010,Waikato Bay of Plenty Magic,WinHome,53,44,14,Saturday 19 June,Adelaide Thunderbirds
2010,New South Wales Swifts,LoseHome,38,52,15,Sunday 27 June,Adelaide Thunderbirds
2010,West Coast Fever,WinHome,62,44,2,Monday 29 March,Canterbury Tactix
2010,Northern Mystics,WinHome,59,50,6,Saturday 24 April,Canterbury Tactix
2010,Waikato Bay of Plenty Magic,WinHome,72,52,9,Saturday 15 May,Canterbury Tactix
2010,Central Pulse,WinHome,45,43,10,Saturday 22 May,Canterbury Tactix
2010,Adelaide Thunderbirds,WinHome,58,34,11,Sunday 30 May,Canterbury Tactix
2010,Southern Steel,WinHome,53,39,12,Monday 7 June,Canterbury Tactix
2010,Queensland Firebirds,WinHome,75,32,13,Monday 14 June,Canterbury Tactix
2010,Canterbury Tactix,WinHome,54,48,1,Monday 22 March,Central Pulse
2010,Southern Steel,WinHome,56,44,3,Monday 5 April,Central Pulse
2010,New South Wales Swifts,WinHome,50,36,4,Saturday 10 April,Central Pulse
2010,Waikato Bay of Plenty Magic,WinHome,56,44,8,Saturday 8 May,Central Pulse
2010,Northern Mystics,WinHome,61,60,9,Monday 17 May,Central Pulse
2010,West Coast Fever,WinHome,63,45,11,Monday 31 May,Central Pulse
2010,Queensland Firebirds,WinHome,52,42,12,Saturday 5 June,Central Pulse
2010,West Coast Fever,LoseHome,50,64,3,Monday 5 April,Melbourne Vixens
2010,Canterbury Tactix,LoseHome,49,64,4,Monday 12 April,Melbourne Vixens
2010,Queensland Firebirds,WinHome,62,41,6,Sunday 25 April,Melbourne Vixens
2010,New South Wales Swifts,WinHome,56,42,7,Sunday 2 May,Melbourne Vixens
2010,Adelaide Thunderbirds,WinHome,58,47,9,Sunday 16 May,Melbourne Vixens
2010,Southern Steel,WinHome,52,39,11,Sunday 30 May,Melbourne Vixens
2010,Central Pulse,LoseHome,48,49,14,Monday 21 June,Melbourne Vixens
2010,Queensland Firebirds,LoseHome,47,50,1,Sunday 21 March,New South Wales Swifts
2010,Adelaide Thunderbirds,LoseHome,38,45,2,Saturday 27 March,New South Wales Swifts
2010,Canterbury Tactix,LoseHome,53,56,3,Sunday 4 April,New South Wales Swifts
2010,West Coast Fever,LoseHome,52,61,10,Monday 24 May,New South Wales Swifts
2010,Northern Mystics,LoseHome,48,54,11,Saturday 29 May,New South Wales Swifts
2010,Melbourne Vixens,LoseHome,46,58,13,Saturday 12 June,New South Wales Swifts
2010,Central Pulse,LoseHome,50,61,2,Saturday 27 March,Northern Mystics
2010,Queensland Firebirds,WinHome,71,54,4,Monday 12 April,Northern Mystics
2010,Melbourne Vixens,WinHome,62,51,5,Monday 19 April,Northern Mystics
2010,Waikato Bay of Plenty Magic,WinHome,49,46,7,Monday 3 May,Northern Mystics
2010,Southern Steel,LoseHome,49,52,8,Monday 10 May,Northern Mystics
2010,Canterbury Tactix,LoseHome,47,58,14,Sunday 20 June,Northern Mystics
2010,Melbourne Vixens,WinHome,53,46,2,Sunday 28 March,Queensland Firebirds
2010,Southern Steel,LoseHome,41,56,5,Monday 19 April,Queensland Firebirds
2010,New South Wales Swifts,WinHome,44,40,9,Monday 17 May,Queensland Firebirds
2010,Adelaide Thunderbirds,WinHome,53,51,10,Sunday 23 May,Queensland Firebirds
2010,Waikato Bay of Plenty Magic,LoseHome,54,55,11,Monday 31 May,Queensland Firebirds
2010,West Coast Fever,WinHome,67,59,14,Sunday 20 June,Queensland Firebirds
2010,Waikato Bay of Plenty Magic,WinHome,47,41,2,Monday 29 March,Southern Steel
2010,Adelaide Thunderbirds,WinHome,53,36,4,Sunday 11 April,Southern Steel
2010,Central Pulse,LoseHome,40,64,6,Monday 26 April,Southern Steel
2010,Canterbury Tactix,LoseHome,38,66,7,Saturday 1 May,Southern Steel
2010,Northern Mystics,LoseHome,43,50,13,Monday 14 June,Southern Steel
2010,New South Wales Swifts,WinHome,55,38,14,Monday 21 June,Southern Steel
2010,Waikato Bay of Plenty Magic,WinHome,50,42,15,Monday 28 June,Southern Steel
2010,Melbourne Vixens,WinHome,48,40,1,Monday 22 March,Waikato Bay of Plenty Magic
2010,Northern Mystics,LoseHome,46,55,3,Saturday 3 April,Waikato Bay of Plenty Magic
2010,Canterbury Tactix,LoseHome,36,53,5,Sunday 18 April,Waikato Bay of Plenty Magic
2010,Southern Steel,WinHome,52,47,10,Monday 24 May,Waikato Bay of Plenty Magic
2010,New South Wales Swifts,WinHome,60,43,12,Monday 7 June,Waikato Bay of Plenty Magic
2010,Central Pulse,LoseHome,52,58,13,Saturday 12 June,Waikato Bay of Plenty Magic
2010,New South Wales Swifts,LoseHome,49,54,16,Sunday 4 July,Waikato Bay of Plenty Magic
2010,Adelaide Thunderbirds,WinHome,52,42,17,Sunday 11 July,Waikato Bay of Plenty Magic
2010,Southern Steel,WinHome,46,44,1,Sunday 21 March,West Coast Fever
2010,Waikato Bay of Plenty Magic,WinHome,55,50,4,Saturday 10 April,West Coast Fever
2010,New South Wales Swifts,WinHome,55,43,5,Sunday 18 April,West Coast Fever
2010,Queensland Firebirds,WinHome,63,57,7,Monday 3 May,West Coast Fever
2010,Melbourne Vixens,LoseHome,53,56,8,Monday 10 May,West Coast Fever
2010,Northern Mystics,WinHome,62,53,12,Saturday 5 June,West Coast Fever
2010,Adelaide Thunderbirds,WinHome,54,45,13,Sunday 13 June,West Coast Fever
2011,New South Wales Swifts,WinHome,60,40,1,Sunday 13 February,Adelaide Thunderbirds
2011,West Coast Fever,LoseHome,53,72,3,Thursday 24 February,Adelaide Thunderbirds
2011,Queensland Firebirds,WinHome,64,41,3,Saturday 26 February,Adelaide Thunderbirds
2011,Southern Steel,WinHome,52,48,7,Monday 28 March,Adelaide Thunderbirds
2011,Canterbury Tactix,LoseHome,56,59,8,Sunday 3 April,Adelaide Thunderbirds
2011,Melbourne Vixens,WinHome,55,53,9,Sunday 10 April,Adelaide Thunderbirds
2011,New South Wales Swifts,WinHome,54,45,5,Monday 14 March,Canterbury Tactix
2011,Central Pulse,WinHome,46,43,6,Sunday 20 March,Canterbury Tactix
2011,Melbourne Vixens,WinHome,65,50,7,Sunday 27 March,Canterbury Tactix
2011,Southern Steel,WinHome,49,40,9,Saturday 9 April,Canterbury Tactix
2011,Waikato Bay of Plenty Magic,WinHome,53,49,10,Thursday 14 April,Canterbury Tactix
2011,Northern Mystics,WinHome,62,43,11,Sunday 24 April,Canterbury Tactix
2011,Adelaide Thunderbirds,WinHome,51,41,4,Saturday 5 March,Central Pulse
2011,Southern Steel,WinHome,50,44,5,Monday 14 March,Central Pulse
2011,Northern Mystics,WinHome,61,48,8,Saturday 2 April,Central Pulse
2011,Canterbury Tactix,LoseHome,45,47,10,Monday 18 April,Central Pulse
2011,Melbourne Vixens,WinHome,58,42,11,Saturday 23 April,Central Pulse
2011,Waikato Bay of Plenty Magic,WinHome,60,50,12,Monday 2 May,Central Pulse
2011,Adelaide Thunderbirds,LoseHome,47,65,2,Sunday 20 February,Melbourne Vixens
2011,New South Wales Swifts,LoseHome,45,49,3,Sunday 27 February,Melbourne Vixens
2011,Northern Mystics,WinHome,56,54,4,Sunday 6 March,Melbourne Vixens
2011,Waikato Bay of Plenty Magic,WinHome,53,41,6,Monday 21 March,Melbourne Vixens
2011,Queensland Firebirds,WinHome,57,36,10,Thursday 14 April,Melbourne Vixens
2011,West Coast Fever,LoseHome,38,54,10,Sunday 17 April,Melbourne Vixens
2011,Queensland Firebirds,WinHome,51,48,2,Monday 21 February,New South Wales Swifts
2011,West Coast Fever,LoseHome,49,70,6,Thursday 17 March,New South Wales Swifts
2011,Central Pulse,LoseHome,43,48,7,Sunday 27 March,New South Wales Swifts
2011,Waikato Bay of Plenty Magic,LoseHome,46,53,9,Monday 11 April,New South Wales Swifts
2011,Adelaide Thunderbirds,WinHome,57,53,10,Saturday 16 April,New South Wales Swifts
2011,Southern Steel,LoseHome,39,40,11,Thursday 21 April,New South Wales Swifts
2011,Melbourne Vixens,LoseHome,33,45,12,Sunday 1 May,New South Wales Swifts
2011,Central Pulse,LoseHome,44,54,2,Saturday 19 February,Northern Mystics
2011,Canterbury Tactix,LoseHome,45,58,3,Thursday 7 April,Northern Mystics
2011,Waikato Bay of Plenty Magic,LoseHome,46,47,5,Sunday 13 March,Northern Mystics
2011,Adelaide Thunderbirds,WinHome,57,55,6,Monday 21 March,Northern Mystics
2011,West Coast Fever,LoseHome,54,56,9,Monday 11 April,Northern Mystics
2011,New South Wales Swifts,WinHome,53,46,10,Monday 18 April,Northern Mystics
2011,Southern Steel,LoseHome,35,47,12,Sunday 1 May,Northern Mystics
2011,New South Wales Swifts,LoseHome,44,49,15,Sunday 8 May,Northern Mystics
2011,Waikato Bay of Plenty Magic,LoseHome,42,43,16,Sunday 15 May,Northern Mystics
2011,Queensland Firebirds,WinHome,57,44,17,Sunday 22 May,Northern Mystics
2011,West Coast Fever,LoseHome,38,62,3,Monday 28 February,Queensland Firebirds
2011,Adelaide Thunderbirds,LoseHome,42,64,5,Sunday 13 March,Queensland Firebirds
2011,New South Wales Swifts,LoseHome,53,57,6,Sunday 20 March,Queensland Firebirds
2011,Northern Mystics,LoseHome,52,61,7,Saturday 26 March,Queensland Firebirds
2011,Melbourne Vixens,LoseHome,42,52,8,Thursday 31 March,Queensland Firebirds
2011,Central Pulse,LoseHome,44,61,9,Sunday 10 April,Queensland Firebirds
2011,Canterbury Tactix,LoseHome,52,69,12,Saturday 30 April,Queensland Firebirds
2011,Northern Mystics,WinHome,51,34,1,Monday 14 February,Southern Steel
2011,Waikato Bay of Plenty Magic,WinHome,51,36,2,Sunday 20 February,Southern Steel
2011,Central Pulse,LoseHome,43,45,3,Saturday 26 February,Southern Steel
2011,Queensland Firebirds,WinHome,51,36,4,Sunday 6 March,Southern Steel
2011,West Coast Fever,WinHome,50,47,6,Saturday 19 March,Southern Steel
2011,Canterbury Tactix,WinHome,49,44,8,Thursday 31 March,Southern Steel
2011,Melbourne Vixens,WinHome,42,33,8,Sunday 3 April,Southern Steel
2011,Northern Mystics,LoseHome,39,45,3,Thursday 24 February,Waikato Bay of Plenty Magic
2011,Central Pulse,LoseHome,44,46,3,Monday 28 February,Waikato Bay of Plenty Magic
2011,Canterbury Tactix,LoseHome,56,63,4,Monday 7 March,Waikato Bay of Plenty Magic
2011,West Coast Fever,LoseHome,41,42,7,Monday 28 March,Waikato Bay of Plenty Magic
2011,Queensland Firebirds,WinHome,53,49,8,Monday 4 April,Waikato Bay of Plenty Magic
2011,Southern Steel,LoseHome,33,38,10,Sunday 17 April,Waikato Bay of Plenty Magic
2011,Adelaide Thunderbirds,LoseHome,36,55,11,Sunday 24 April,Waikato Bay of Plenty Magic
2011,Queensland Firebirds,WinHome,50,39,15,Monday 9 May,Waikato Bay of Plenty Magic
2011,Canterbury Tactix,LoseHome,48,54,2,Monday 21 February,West Coast Fever
2011,New South Wales Swifts,WinHome,55,51,4,Monday 7 March,West Coast Fever
2011,Melbourne Vixens,WinHome,70,39,5,Saturday 12 March,West Coast Fever
2011,Central Pulse,WinHome,63,61,8,Monday 4 April,West Coast Fever
